epoch,loss,val_loss,errCntAvg,uniqIdx,norm
1,0.69,0.69,1.9,17,1.8975
2,0.68,0.68,1.9,17,1.8975
3,0.68,0.68,1.9,17,1.8975
4,0.67,0.67,1.9,17,1.8975
5,0.67,0.66,1.9,17,1.8975
6,0.66,0.66,1.9,17,1.8975
7,0.65,0.65,1.9,17,1.8975
8,0.65,0.65,1.9,17,1.8975
9,0.64,0.64,1.9,17,1.8975
10,0.63,0.63,1.9,17,1.8975
11,0.63,0.63,1.9,17,1.8975
12,0.62,0.62,1.9,17,1.8975
13,0.62,0.61,1.9,17,1.8975
14,0.61,0.6,1.9,17,1.8975
15,0.6,0.6,1.9,17,1.8975
16,0.6,0.59,1.9,17,1.8975
17,0.59,0.58,1.9,17,1.8975
18,0.58,0.58,1.9,17,1.8975
19,0.58,0.57,1.9,17,1.8975
20,0.57,0.56,1.9,17,1.8975
21,0.57,0.56,3.9,2,3.9010937499999998
22,0.56,0.55,3.9,2,3.9010937499999998
23,0.56,0.54,3.9,2,3.9010937499999998
24,0.55,0.54,3.9,2,3.9010937499999998
25,0.54,0.53,3.9,2,3.9010937499999998
26,0.54,0.53,3.9,2,3.9010937499999998
27,0.53,0.52,3.9,2,3.9010937499999998
28,0.53,0.52,3.9,2,3.9010937499999998
29,0.52,0.51,3.9,2,3.9010937499999998
30,0.52,0.5,3.9,2,3.9010937499999998
31,0.51,0.5,3.9,2,3.9010937499999998
32,0.51,0.49,3.9,2,3.9010937499999998
33,0.51,0.49,3.9,2,3.9010937499999998
34,0.5,0.48,3.9,2,3.9010937499999998
35,0.5,0.48,3.9,2,3.9010937499999998
36,0.49,0.47,3.9,2,3.9010937499999998
37,0.49,0.47,3.9,2,3.9010937499999998
38,0.48,0.46,3.9,2,3.9010937499999998
39,0.48,0.46,3.9,2,3.9010937499999998
40,0.48,0.46,3.9,2,3.9010937499999998
41,0.47,0.45,3.59,2,3.58640625
42,0.47,0.45,3.59,2,3.58640625
43,0.47,0.44,3.59,2,3.58640625
44,0.46,0.44,3.59,2,3.58640625
45,0.46,0.43,3.59,2,3.58640625
46,0.45,0.43,3.59,2,3.58640625
47,0.45,0.43,3.59,2,3.58640625
48,0.45,0.42,3.59,2,3.58640625
49,0.44,0.42,3.59,2,3.58640625
50,0.44,0.41,3.59,2,3.58640625
51,0.44,0.41,3.59,2,3.58640625
52,0.44,0.41,3.59,2,3.58640625
53,0.43,0.4,3.59,2,3.58640625
54,0.43,0.4,3.59,2,3.58640625
55,0.43,0.4,3.59,2,3.58640625
56,0.42,0.39,3.59,2,3.58640625
57,0.42,0.39,3.59,2,3.58640625
58,0.42,0.39,3.59,2,3.58640625
59,0.42,0.38,3.59,2,3.58640625
60,0.41,0.38,3.59,2,3.58640625
61,0.41,0.38,1.51,2,1.5120312499999999
62,0.41,0.38,1.51,2,1.5120312499999999
63,0.41,0.37,1.51,2,1.5120312499999999
64,0.4,0.37,1.51,2,1.5120312499999999
65,0.4,0.37,1.51,2,1.5120312499999999
66,0.4,0.36,1.51,2,1.5120312499999999
67,0.4,0.36,1.51,2,1.5120312499999999
68,0.39,0.36,1.51,2,1.5120312499999999
69,0.39,0.36,1.51,2,1.5120312499999999
70,0.39,0.35,1.51,2,1.5120312499999999
71,0.39,0.35,1.51,2,1.5120312499999999
72,0.38,0.35,1.51,2,1.5120312499999999
73,0.38,0.35,1.51,2,1.5120312499999999
74,0.38,0.34,1.51,2,1.5120312499999999
75,0.38,0.34,1.51,2,1.5120312499999999
76,0.38,0.34,1.51,2,1.5120312499999999
77,0.37,0.34,1.51,2,1.5120312499999999
78,0.37,0.33,1.51,2,1.5120312499999999
79,0.37,0.33,1.51,2,1.5120312499999999
80,0.37,0.33,1.51,2,1.5120312499999999
81,0.37,0.33,1.48,1,1.48265625
82,0.37,0.33,1.48,1,1.48265625
83,0.36,0.32,1.48,1,1.48265625
84,0.36,0.32,1.48,1,1.48265625
85,0.36,0.32,1.48,1,1.48265625
86,0.36,0.32,1.48,1,1.48265625
87,0.36,0.32,1.48,1,1.48265625
88,0.35,0.31,1.48,1,1.48265625
89,0.35,0.31,1.48,1,1.48265625
90,0.35,0.31,1.48,1,1.48265625
91,0.35,0.31,1.48,1,1.48265625
92,0.35,0.31,1.48,1,1.48265625
93,0.35,0.31,1.48,1,1.48265625
94,0.35,0.3,1.48,1,1.48265625
95,0.34,0.3,1.48,1,1.48265625
96,0.34,0.3,1.48,1,1.48265625
97,0.34,0.3,1.48,1,1.48265625
98,0.34,0.3,1.48,1,1.48265625
99,0.34,0.3,1.48,1,1.48265625
100,0.34,0.29,1.48,1,1.48265625
101,0.33,0.29,1.48,1,1.48265625
102,0.33,0.29,1.48,1,1.48265625
103,0.33,0.29,1.48,1,1.48265625
104,0.33,0.29,1.48,1,1.48265625
105,0.33,0.29,1.48,1,1.48265625
106,0.33,0.29,1.48,1,1.48265625
107,0.33,0.28,1.48,1,1.48265625
108,0.33,0.28,1.48,1,1.48265625
109,0.32,0.28,1.48,1,1.48265625
110,0.32,0.28,1.48,1,1.48265625
111,0.32,0.28,1.48,1,1.48265625
112,0.32,0.28,1.48,1,1.48265625
113,0.32,0.28,1.48,1,1.48265625
114,0.32,0.27,1.48,1,1.48265625
115,0.32,0.27,1.48,1,1.48265625
116,0.32,0.27,1.48,1,1.48265625
117,0.32,0.27,1.48,1,1.48265625
118,0.31,0.27,1.48,1,1.48265625
119,0.31,0.27,1.48,1,1.48265625
120,0.31,0.27,1.48,1,1.48265625
121,0.31,0.27,1.48,1,1.48265625
122,0.31,0.26,1.48,1,1.48265625
123,0.31,0.26,1.48,1,1.48265625
124,0.31,0.26,1.48,1,1.48265625
125,0.31,0.26,1.48,1,1.48265625
126,0.31,0.26,1.48,1,1.48265625
127,0.3,0.26,1.48,1,1.48265625
128,0.3,0.26,1.48,1,1.48265625
129,0.3,0.26,1.48,1,1.48265625
130,0.3,0.26,1.48,1,1.48265625
131,0.3,0.26,1.48,1,1.48265625
132,0.3,0.25,1.48,1,1.48265625
133,0.3,0.25,1.48,1,1.48265625
134,0.3,0.25,1.48,1,1.48265625
135,0.3,0.25,1.48,1,1.48265625
136,0.3,0.25,1.48,1,1.48265625
137,0.3,0.25,1.48,1,1.48265625
138,0.29,0.25,1.48,1,1.48265625
139,0.29,0.25,1.48,1,1.48265625
140,0.29,0.25,1.48,1,1.48265625
141,0.29,0.25,1.48,1,1.48265625
142,0.29,0.25,1.48,1,1.48265625
143,0.29,0.24,1.48,1,1.48265625
144,0.29,0.24,1.48,1,1.48265625
145,0.29,0.24,1.48,1,1.48265625
146,0.29,0.24,1.48,1,1.48265625
147,0.29,0.24,1.48,1,1.48265625
148,0.29,0.24,1.48,1,1.48265625
149,0.29,0.24,1.48,1,1.48265625
150,0.28,0.24,1.48,1,1.48265625
151,0.28,0.24,1.48,1,1.48265625
152,0.28,0.24,1.48,1,1.48265625
153,0.28,0.24,1.48,1,1.48265625
154,0.28,0.24,1.48,1,1.48265625
155,0.28,0.24,1.48,1,1.48265625
156,0.28,0.23,1.48,1,1.48265625
157,0.28,0.23,1.48,1,1.48265625
158,0.28,0.23,1.48,1,1.48265625
159,0.28,0.23,1.48,1,1.48265625
160,0.28,0.23,1.48,1,1.48265625
161,0.28,0.23,1.48,1,1.48265625
162,0.28,0.23,1.48,1,1.48265625
163,0.27,0.23,1.48,1,1.48265625
164,0.27,0.23,1.48,1,1.48265625
165,0.27,0.23,1.48,1,1.48265625
166,0.27,0.23,1.48,1,1.48265625
167,0.27,0.23,1.48,1,1.48265625
168,0.27,0.23,1.48,1,1.48265625
169,0.27,0.23,1.48,1,1.48265625
170,0.27,0.23,1.48,1,1.48265625
171,0.27,0.23,1.48,1,1.48265625
172,0.27,0.22,1.48,1,1.48265625
173,0.27,0.22,1.48,1,1.48265625
174,0.27,0.22,1.48,1,1.48265625
175,0.27,0.22,1.48,1,1.48265625
176,0.27,0.22,1.48,1,1.48265625
177,0.27,0.22,1.48,1,1.48265625
178,0.27,0.22,1.48,1,1.48265625
179,0.26,0.22,1.48,1,1.48265625
180,0.26,0.22,1.48,1,1.48265625
181,0.26,0.22,1.48,1,1.48265625
182,0.26,0.22,1.48,1,1.48265625
183,0.26,0.22,1.48,1,1.48265625
184,0.26,0.22,1.48,1,1.48265625
185,0.26,0.22,1.48,1,1.48265625
186,0.26,0.22,1.48,1,1.48265625
187,0.26,0.22,1.48,1,1.48265625
188,0.26,0.22,1.48,1,1.48265625
189,0.26,0.22,1.48,1,1.48265625
190,0.26,0.22,1.48,1,1.48265625
191,0.26,0.22,1.48,1,1.48265625
192,0.26,0.21,1.48,1,1.48265625
193,0.26,0.21,1.48,1,1.48265625
194,0.26,0.21,1.48,1,1.48265625
195,0.26,0.21,1.48,1,1.48265625
196,0.26,0.21,1.48,1,1.48265625
197,0.25,0.21,1.48,1,1.48265625
198,0.25,0.21,1.48,1,1.48265625
199,0.25,0.21,1.48,1,1.48265625
200,0.25,0.21,1.48,1,1.48265625
