epoch,loss,val_loss,errCntAvg
10,9.22,8.01,3.7
20,8.51,9.71,3.8
30,9.17,9.6,3.82
40,7.56,8.89,3.86
50,8.19,10.44,4.18
60,8.28,5.6,3.55
70,7.69,9.14,3.54
80,8.05,10.1,3.54
90,7.91,10.27,3.53
100,7.6,6.06,3.53
110,7.8,10.41,3.55
120,7.95,10.38,3.79
130,7.76,6.02,3.57
140,8.25,10.63,3.71
150,8.22,5.95,3.58
160,7.49,10.18,3.57
170,8.53,10.3,3.57
180,7.32,5.93,3.57
190,8.89,10.16,3.57
200,6.97,5.5,3.56
210,7.92,10.68,3.57
220,7.53,9.94,3.57
230,7.46,8.91,3.56
240,8.12,10.22,3.56
250,7.36,10.01,3.59
260,8.04,10.03,3.61
270,7.47,10.31,3.59
280,7.71,5.97,3.82
290,8.49,6.7,3.5
300,8.53,6.05,3.35
310,8.79,11.02,3.32
320,8.39,5.54,3.31
330,8.63,12.03,3.58
340,8.82,12.51,3.69
350,8.81,12.94,3.76
360,8.61,5.19,3.79
370,8.22,11.61,3.78
380,8.22,4.64,3.49
390,8.27,11.56,3.71
400,8.31,4.42,3.7
410,8.32,11.46,3.69
420,7.82,5.04,3.71
430,8.33,11.52,3.71
440,7.88,5.7,3.72
450,8.29,5.09,3.72
460,7.84,11.54,3.72
470,7.92,5.25,3.72
480,8.22,5.47,3.72
490,8,11.51,3.72
500,7.91,5.21,3.72
510,8.3,5.32,3.72
520,8.16,11.51,3.72
530,8.01,5.25,3.72
540,8.26,5.13,3.72
550,8.26,5.25,3.72
560,8.25,5.32,3.72
570,8.25,5.46,3.72
580,8.18,5.58,3.72
590,8.17,5.12,3.72
600,8.27,4.55,3.72
610,8.28,4.8,3.72
620,8.04,11.5,3.72
630,7.9,11.49,3.73
640,8.12,4.82,3.73
650,8.29,5.24,3.73
660,8.01,11.5,3.73
670,7.87,11.5,3.73
680,7.91,11.5,3.73
690,7.91,11.49,3.73
700,7.91,11.56,3.73
710,8.24,5.44,3.73
720,8.16,11.37,3.73
730,7.92,11.5,3.73
740,7.91,11.5,3.73
750,8.26,5.18,3.73
760,8.19,5.18,3.73
770,8.19,5.24,3.73
780,8.2,5.29,3.73
790,8.14,5.35,3.73
800,8.17,5.25,3.73
810,8.17,5.24,3.73
820,8.17,5.2,3.73
830,8.19,5.19,3.73
840,8.16,5.47,3.73
850,8.13,5.42,3.73
860,8.15,5.3,3.73
870,8.15,5.3,3.73
880,8.16,5.25,3.73
890,8.21,5.2,3.73
900,8.19,5.26,3.73
910,8.21,5.07,3.73
920,8.19,5.37,3.73
930,8.13,5.42,3.73
940,8.13,5.19,3.73
950,8.19,4.76,3.73
960,8.19,5,3.73
970,8.18,5.3,3.73
980,8.15,5.42,3.73
990,8.14,5.48,3.73
1000,6.47,4.78,1.48
